state,number_of_participating_agencies,population_covered,header,arson,bribery,burglary_breaking_&_entering,counterfeiting_forgery,destruction_damage_vandalism,embezzlement,extortion_blackmail,fraud_offenses,larceny_theft_offenses,motor_vehicle_theft,robbery,stolen_property_offenses
Total,9880,177522400,5371269,21829,622,522400,102486,1016618,19819,9141,643405,2453071,406911,102659,72308
Alabama,131,715130,7981,34,0,910,186,1375,40,13,820,3840,541,66,156
Arizona,22,1769207,47284,186,1,4404,567,8390,147,113,6778,23063,2611,720,304
Arkansas,281,2818360,135509,556,1,14994,3868,26063,77,47,23636,54991,7355,1440,2481
Colorado,225,5754151,257623,1329,156,22539,3910,48987,313,751,29769,112828,30179,3958,2904
Connecticut,105,3488526,78197,159,3,5897,1356,14435,214,164,8575,37125,7295,1695,1279
Delaware,62,986809,37244,138,1,2572,427,9085,150,74,6090,15849,1597,705,556
District of Columbia1,1,,1065,2,0,1,4,428,0,0,9,412,29,165,15
Georgia,401,7938166,207820,651,12,18567,5526,36394,312,251,27491,97267,14621,3862,2866
Hawaii,1,966438,32730,319,2,3301,417,949,32,134,4091,18238,3744,743,760
Idaho,107,1819575,33036,152,1,3405,744,6751,139,101,4936,14611,1626,163,407
Illinois,7,240617,9018,61,0,784,118,3154,3,3,858,3282,425,246,84
Indiana,160,4675214,112587,629,11,11851,2020,10360,352,105,14877,56932,10860,3333,1257
Iowa,251,3083186,84304,419,58,11149,3159,17982,164,136,7235,36165,6195,928,714
Kansas,356,2586059,98226,512,6,7818,2850,25413,634,244,12986,39479,5913,816,1555
Kentucky,423,4472499,119694,360,53,14724,2458,21038,1382,81,7066,54885,11242,2288,4117
Louisiana,70,1739794,46064,71,1,6312,759,9117,196,59,1735,23833,2594,508,879
Maine,68,841254,16795,170,2,1179,331,4139,97,39,2529,7636,508,100,65
Maryland,3,1792745,41063,44,0,2360,647,8477,95,118,5310,19235,3317,1280,180
Massachusetts,342,6815611,165200,419,12,10299,2530,29897,339,534,52246,57363,6815,2999,1747
Michigan,627,9767448,233949,1768,11,22172,3017,47579,1685,517,36400,93671,18074,4424,4631
Minnesota,401,5584006,126006,454,7,11528,3306,23618,156,144,13812,57242,10039,2852,2848
Mississippi,83,1256005,37173,128,9,4730,734,5864,502,36,3708,18123,2221,398,720
Missouri,321,4778935,149808,760,3,13587,3390,25966,502,71,12086,72422,15741,2865,2415
Montana,100,1075088,35743,156,2,2696,1014,8163,72,7,2525,18039,2521,272,276
Nebraska,121,1034668,19921,90,8,1376,611,5662,81,90,2335,8108,1110,109,341
Nevada,28,3059000,45727,154,7,4866,669,8551,490,115,6930,17125,4648,1041,1131
New Hampshire,193,1335848,29785,145,3,1314,689,7847,111,122,5472,12208,904,260,710
New Mexico,17,1114118,65205,234,44,7221,705,15032,406,110,5355,26734,6779,1677,908
New York,56,1870894,32635,111,1,2195,622,8007,8,45,2260,17010,1289,551,536
North Carolina,377,9618194,332136,1405,11,40035,5115,57978,1782,626,38413,157274,17618,6591,5288
North Dakota,106,765309,25555,87,0,2823,712,4522,114,45,3620,11018,1820,144,650
Ohio,560,9805446,272856,875,9,30290,2351,61775,113,383,18935,130184,17091,6954,3896
Oklahoma,404,2875975,101728,539,10,14068,2120,15546,1246,256,14713,41339,8637,1227,2027
Oregon,207,4000770,168615,1315,11,13283,3155,35668,253,160,16272,79717,15607,2105,1069
Pennsylvania,22,253932,722,2,0,20,20,112,3,0,177,353,18,6,11
Rhode Island,47,1056100,25454,120,0,1801,532,6327,113,72,4148,10076,1496,337,432
South Carolina,398,5139301,208447,710,4,21659,4563,35383,827,208,20234,103272,14065,3076,4446
South Dakota,121,848707,26791,88,0,2628,824,4871,227,36,2323,12987,2120,244,443
Tennessee,463,6886834,263150,992,23,25796,5439,47632,1646,521,25717,126481,20718,5604,2581
Texas,806,26328281,785751,2423,75,81815,16970,136429,2025,562,70765,378566,69518,23329,3274
Utah,114,3103855,111324,277,11,7643,2416,23095,85,264,12573,53131,8669,1159,2001
Vermont,88,623347,12495,42,1,976,189,2874,60,11,1422,6451,260,64,145
Virginia,416,8589304,220981,621,26,11405,4330,48518,1792,872,33569,104720,10770,2962,1396
Washington,232,7663709,356395,1297,14,38635,4361,67070,209,646,57591,148503,27100,5154,5815
West Virginia,251,1562004,31880,272,3,4149,814,5926,87,8,2067,15529,1994,311,720
Wisconsin,282,4821673,117910,545,9,10462,1890,23765,533,242,12793,54942,8543,2922,1264
Wyoming,23,200308,1687,8,0,161,51,404,5,5,153,812,74,6,8
